dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.771945,3.291442,1.055167,1.431718,0.917145,-0.193000,3.233172
0.020000,13.743069,3.288766,1.084166,1.449983,0.913237,-0.195407,3.234774
0.020000,13.713835,3.286012,1.113530,1.468169,0.909275,-0.198076,3.236289
0.020000,13.684244,3.283180,1.143255,1.486274,0.905264,-0.200561,3.237712
0.020000,13.654299,3.280272,1.173341,1.504298,0.901200,-0.203184,3.239038
0.020000,13.624001,3.277292,1.203786,1.522239,0.897082,-0.205920,3.240263
0.020000,13.593350,3.274240,1.234588,1.540098,0.892916,-0.208307,3.241381
0.020000,13.562350,3.271120,1.265745,1.557872,0.888693,-0.211165,3.242389
0.020000,13.531000,3.267935,1.297256,1.575560,0.884414,-0.213913,3.243281
0.020000,13.499302,3.264688,1.329120,1.593162,0.880082,-0.216627,3.244053
0.020000,13.467259,3.261382,1.361333,1.610675,0.875693,-0.219423,3.244699
0.020000,13.434871,3.258022,1.393895,1.628100,0.871243,-0.222488,3.245215
0.020000,13.402139,3.254611,1.426804,1.645435,0.866741,-0.225125,3.245596
0.020000,13.369066,3.251155,1.460057,1.662679,0.862175,-0.228313,3.245836
0.020000,13.335652,3.247657,1.493654,1.679830,0.857549,-0.231277,3.245930
0.020000,13.301899,3.244123,1.527592,1.696887,0.852863,-0.234334,3.245873
0.020000,13.267807,3.240558,1.561869,1.713849,0.848113,-0.237483,3.245659
0.020000,13.233380,3.236968,1.596483,1.730715,0.843300,-0.240631,3.245284
0.020000,13.198617,3.233360,1.631433,1.747484,0.838423,-0.243872,3.244741
0.020000,13.163520,3.229739,1.666716,1.764153,0.833484,-0.246956,3.244025
0.020000,13.128091,3.226113,1.702330,1.780723,0.828476,-0.250376,3.243131
0.020000,13.092330,3.222488,1.738274,1.797191,0.823406,-0.253487,3.242053
0.020000,13.056240,3.218873,1.774545,1.813556,0.818273,-0.256668,3.240784
0.020000,13.019821,3.215275,1.811142,1.829818,0.813070,-0.260157,3.239320
0.020000,12.983074,3.211702,1.848061,1.845974,0.807816,-0.262680,3.237654
0.020000,12.946002,3.208164,1.885302,1.862024,0.802490,-0.266339,3.235780
0.020000,12.908606,3.204671,1.922861,1.877966,0.797111,-0.268932,3.233693
