dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.405196,5.547206,0.607443,0.794841,0.488297,-0.103262,6.280238
0.020000,2.421288,5.547166,0.623535,0.804564,0.486166,-0.106517,6.281238
0.020000,2.437573,5.547143,0.639820,0.814245,0.484028,-0.106905,6.282310
0.020000,2.454050,5.547138,0.656297,0.823882,0.481847,-0.109057,0.000272
0.020000,2.470720,5.547153,0.672967,0.833474,0.479621,-0.111305,0.001496
0.020000,2.487580,5.547189,0.689827,0.843021,0.477348,-0.113648,0.002800
0.020000,2.504630,5.547248,0.706877,0.852522,0.475026,-0.116083,0.004186
0.020000,2.521870,5.547333,0.724117,0.861975,0.472665,-0.118072,0.005657
0.020000,2.539297,5.547445,0.741545,0.871382,0.470338,-0.116342,0.007216
0.020000,2.556911,5.547587,0.759159,0.880737,0.467785,-0.127664,0.008865
0.020000,2.574711,5.547760,0.776960,0.890045,0.465392,-0.119629,0.010608
0.020000,2.592696,5.547967,0.794946,0.899300,0.462755,-0.131844,0.012447
0.020000,2.610865,5.548211,0.813116,0.908506,0.460289,-0.123295,0.014384
0.020000,2.629215,5.548493,0.831470,0.917658,0.457583,-0.135343,0.016424
0.020000,2.647748,5.548817,0.850005,0.926756,0.454906,-0.133803,0.018569
0.020000,2.666460,5.549186,0.868721,0.935800,0.452190,-0.135810,0.020822
0.020000,2.685351,5.549601,0.887616,0.944788,0.449419,-0.138583,0.023185
0.020000,2.704420,5.550067,0.906691,0.953720,0.446590,-0.141415,0.025664
0.020000,2.723665,5.550586,0.925943,0.962594,0.443704,-0.144294,0.028260
0.020000,2.743085,5.551161,0.945371,0.971409,0.440760,-0.147204,0.030976
0.020000,2.762678,5.551796,0.964974,0.980166,0.437862,-0.144943,0.033817
0.020000,2.782443,5.552494,0.984751,0.988862,0.434771,-0.154551,0.036786
0.020000,2.802378,5.553258,1.004701,0.997496,0.431696,-0.153732,0.039886
0.020000,2.822482,5.554093,1.024823,1.006068,0.428606,-0.154502,0.043120
0.020000,2.842753,5.555002,1.045114,1.014577,0.425438,-0.158367,0.046493
0.020000,2.863190,5.555988,1.065575,1.023020,0.422176,-0.163146,0.050007
0.020000,2.883790,5.557057,1.086203,1.031399,0.418942,-0.161688,0.053667
0.020000,2.904552,5.558212,1.106997,1.039712,0.415665,-0.163819,0.057475
0.020000,2.925474,5.559457,1.127956,1.047958,0.412314,-0.167554,0.061437
0.020000,2.946554,5.560797,1.149079,1.056137,0.408940,-0.168718,0.065556
0.020000,2.967791,5.562236,1.170364,1.064248,0.405528,-0.170576,0.069835
0.020000,2.989181,5.563780,1.191810,1.072289,0.402061,-0.173374,0.074279
0.020000,3.010723,5.565433,1.213415,1.080260,0.398566,-0.174733,0.078891
0.020000,3.032414,5.567200,1.235178,1.088163,0.395140,-0.171317,0.083675
0.020000,3.054253,5.569086,1.257098,1.095995,0.391595,-0.177276,0.088635
0.020000,3.076236,5.571096,1.279173,1.103757,0.388090,-0.175204,0.093776
0.020000,3.098362,5.573236,1.301402,1.111447,0.384520,-0.178516,0.099101
0.020000,3.120627,5.575512,1.323783,1.119070,0.381123,-0.169879,0.104613
0.020000,3.143030,5.577928,1.346316,1.126620,0.377525,-0.179871,0.110318
0.020000,3.165566,5.580491,1.368998,1.134102,0.374063,-0.173088,0.116219
0.020000,3.188235,5.583208,1.391828,1.141514,0.370627,-0.171808,0.122320
0.020000,3.211031,5.586083,1.414805,1.148859,0.367230,-0.169865,0.128624
0.020000,3.233953,5.589123,1.437928,1.156136,0.363886,-0.167176,0.135136
0.020000,3.256997,5.592335,1.461195,1.163349,0.360613,-0.163655,0.141859
0.020000,3.280161,5.595725,1.484605,1.170498,0.357487,-0.156305,0.148796
0.020000,3.303439,5.599299,1.508157,1.177585,0.354350,-0.156857,0.155952
0.020000,3.326831,5.603065,1.531849,1.184614,0.351420,-0.146517,0.163329
0.020000,3.350330,5.607029,1.555681,1.191586,0.348611,-0.140425,0.170930
0.020000,3.373935,5.611198,1.579651,1.198505,0.345960,-0.132571,0.178759
0.020000,3.397641,5.615580,1.603758,1.205375,0.343486,-0.123666,0.186819
0.020000,3.421444,5.620181,1.628002,1.212200,0.341232,-0.112709,0.195111
0.020000,3.445341,5.625010,1.652382,1.218983,0.339190,-0.102101,0.203639
0.020000,3.469327,5.630072,1.676897,1.225732,0.337415,-0.088774,0.212404
0.020000,3.493399,5.635376,1.701546,1.232450,0.335919,-0.074766,0.221407
0.020000,3.517551,5.640930,1.726328,1.239145,0.334734,-0.059282,0.230651
0.020000,3.541781,5.646741,1.751245,1.245821,0.333834,-0.044983,0.240136
0.020000,3.566083,5.652816,1.776295,1.252489,0.333376,-0.022926,0.249863
0.020000,3.590452,5.659165,1.801478,1.259155,0.333304,-0.003578,0.259831
0.020000,3.614886,5.665793,1.826794,1.265826,0.333567,0.013130,0.270042
0.020000,3.639378,5.672711,1.852245,1.272513,0.334348,0.039060,0.280492
0.020000,3.663925,5.679924,1.877829,1.279226,0.335610,0.063109,0.291182
