dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.192739,4.493643,0.418149,0.540303,0.359278,0.022857,0.059728
0.020000,2.203669,4.494304,0.429098,0.547496,0.359674,0.019769,0.061036
0.020000,2.214742,4.494988,0.440192,0.554699,0.360144,0.023516,0.062348
0.020000,2.225958,4.495696,0.451431,0.561910,0.360560,0.020832,0.063663
0.020000,2.237317,4.496427,0.462813,0.569131,0.361021,0.023014,0.064981
0.020000,2.248819,4.497183,0.474340,0.576360,0.361478,0.022869,0.066301
0.020000,2.260465,4.497964,0.486012,0.583599,0.361929,0.022561,0.067623
0.020000,2.272255,4.498771,0.497829,0.590847,0.362398,0.023407,0.068946
0.020000,2.284188,4.499603,0.509791,0.598104,0.362872,0.023734,0.070270
0.020000,2.296265,4.500461,0.521899,0.605371,0.363351,0.023916,0.071594
0.020000,2.308486,4.501345,0.534152,0.612648,0.363829,0.023927,0.072918
0.020000,2.320851,4.502257,0.546551,0.619934,0.364318,0.024437,0.074241
0.020000,2.333360,4.503196,0.559095,0.627231,0.364812,0.024700,0.075562
0.020000,2.346014,4.504162,0.571786,0.634537,0.365311,0.024967,0.076882
0.020000,2.358813,4.505156,0.584623,0.641853,0.365816,0.025239,0.078199
0.020000,2.371756,4.506179,0.597607,0.649180,0.366328,0.025583,0.079512
0.020000,2.384844,4.507231,0.610737,0.656516,0.366842,0.025744,0.080823
0.020000,2.398077,4.508311,0.624014,0.663864,0.367363,0.026009,0.082128
0.020000,2.411456,4.509421,0.637439,0.671222,0.367889,0.026340,0.083429
0.020000,2.424980,4.510561,0.651010,0.678590,0.368422,0.026634,0.084724
0.020000,2.438649,4.511731,0.664730,0.685969,0.368959,0.026840,0.086014
0.020000,2.452464,4.512931,0.678597,0.693359,0.369502,0.027159,0.087296
0.020000,2.466425,4.514162,0.692612,0.700760,0.370048,0.027311,0.088571
0.020000,2.480532,4.515424,0.706776,0.708172,0.370604,0.027798,0.089839
0.020000,2.494786,4.516717,0.721088,0.715595,0.371159,0.027723,0.091097
0.020000,2.509185,4.518041,0.735548,0.723030,0.371727,0.028399,0.092347
0.020000,2.523732,4.519398,0.750158,0.730476,0.372292,0.028260,0.093586
0.020000,2.538425,4.520786,0.764916,0.737933,0.372867,0.028753,0.094815
0.020000,2.553265,4.522206,0.779824,0.745402,0.373448,0.029050,0.096033
0.020000,2.568253,4.523659,0.794882,0.752883,0.374032,0.029189,0.097239
0.020000,2.583388,4.525145,0.810089,0.760375,0.374616,0.029229,0.098433
0.020000,2.598670,4.526663,0.825447,0.767879,0.375215,0.029939,0.099613
0.020000,2.614100,4.528214,0.840955,0.775396,0.375814,0.029960,0.100780
0.020000,2.629678,4.529799,0.856613,0.782924,0.376419,0.030216,0.101932
0.020000,2.645404,4.531416,0.872423,0.790465,0.377028,0.030474,0.103069
0.020000,2.661279,4.533067,0.888383,0.798017,0.377643,0.030734,0.104190
0.020000,2.677302,4.534752,0.904495,0.805583,0.378263,0.030995,0.105295
0.020000,2.693475,4.536470,0.920758,0.813160,0.378888,0.031258,0.106382
0.020000,2.709796,4.538222,0.937173,0.820751,0.379516,0.031390,0.107451
0.020000,2.726267,4.540007,0.953740,0.828354,0.380148,0.031615,0.108502
0.020000,2.742887,4.541826,0.970459,0.835970,0.380793,0.032249,0.109533
0.020000,2.759657,4.543679,0.987331,0.843598,0.381439,0.032310,0.110544
0.020000,2.776577,4.545566,1.004356,0.851240,0.382080,0.032055,0.111534
0.020000,2.793647,4.547486,1.021534,0.858895,0.382742,0.033075,0.112502
0.020000,2.810868,4.549440,1.038865,0.866563,0.383402,0.033011,0.113449
0.020000,2.828239,4.551427,1.056350,0.874244,0.384060,0.032927,0.114372
0.020000,2.845762,4.553448,1.073989,0.881939,0.384738,0.033872,0.115271
0.020000,2.863436,4.555502,1.091782,0.889647,0.385407,0.033465,0.116145
0.020000,2.881261,4.557590,1.109729,0.897369,0.386088,0.034051,0.116994
0.020000,2.899239,4.559710,1.127831,0.905104,0.386778,0.034509,0.117817
0.020000,2.917368,4.561864,1.146088,0.912853,0.387460,0.034088,0.118614
0.020000,2.935650,4.564049,1.164501,0.920617,0.388159,0.034954,0.119382
0.020000,2.954085,4.566268,1.183069,0.928394,0.388862,0.035136,0.120122
0.020000,2.972673,4.568518,1.201792,0.936185,0.389567,0.035239,0.120832
0.020000,2.991415,4.570800,1.220672,0.943991,0.390277,0.035516,0.121513
0.020000,3.010310,4.573114,1.239708,0.951811,0.390993,0.035794,0.122162
0.020000,3.029359,4.575459,1.258901,0.959645,0.391714,0.036073,0.122780
0.020000,3.048562,4.577834,1.278251,0.967494,0.392441,0.036353,0.123366
0.020000,3.067921,4.580240,1.297758,0.975357,0.393174,0.036633,0.123918
0.020000,3.087434,4.582676,1.317423,0.983235,0.393912,0.036913,0.124435
0.020000,3.107103,4.585141,1.337246,0.991129,0.394656,0.037192,0.124918
0.020000,3.126927,4.587635,1.357226,0.999037,0.395406,0.037472,0.125365
0.020000,3.146908,4.590157,1.377366,1.006960,0.396160,0.037743,0.125775
0.020000,3.167045,4.592707,1.397664,1.014898,0.396916,0.037759,0.126148
0.020000,3.187339,4.595284,1.418121,1.022852,0.397688,0.038603,0.126482
0.020000,3.207790,4.597888,1.438737,1.030821,0.398459,0.038552,0.126777
0.020000,3.228399,4.600518,1.459513,1.038806,0.399233,0.038694,0.127032
0.020000,3.249166,4.603172,1.480449,1.046806,0.400021,0.039437,0.127246
0.020000,3.270078,4.605850,1.501531,1.054097,0.364545,-1.773846,0.127417
0.020000,3.291105,4.608545,1.522730,1.059951,0.292687,-3.592851,0.127546
0.020000,3.312219,4.611254,1.544017,1.064363,0.220614,-3.603687,0.127631
0.020000,3.333392,4.613971,1.565364,1.067330,0.148332,-3.614079,0.127672
0.020000,3.354590,4.616693,1.586736,1.068615,0.064282,-4.202533,0.127668
0.020000,3.375781,4.619412,1.608101,1.068215,-0.020016,-4.214899,0.127620
0.020000,3.396934,4.622126,1.629428,1.066355,-0.092993,-3.648838,0.127528
0.020000,3.418023,4.624828,1.650688,1.063032,-0.166180,-3.659326,0.127392
0.020000,3.439016,4.627515,1.671853,1.058240,-0.239583,-3.670162,0.127214
0.020000,3.459891,4.630183,1.692897,1.052208,-0.301593,-3.100481,0.126994
0.020000,3.480636,4.632829,1.713811,1.045663,-0.327255,-1.283113,0.126733
0.020000,3.501251,4.635453,1.734593,1.039102,-0.328031,-0.038809,0.126432
0.020000,3.521738,4.638053,1.755243,1.032526,-0.328812,-0.039027,0.126092
0.020000,3.542094,4.640630,1.775762,1.025935,-0.329582,-0.038521,0.125713
0.020000,3.562320,4.643182,1.796148,1.019328,-0.330341,-0.037936,0.125298
0.020000,3.582416,4.645709,1.816403,1.012706,-0.331104,-0.038149,0.124846
0.020000,3.602381,4.648209,1.836524,1.006069,-0.331857,-0.037647,0.124358
0.020000,3.622216,4.650684,1.856512,0.999416,-0.332604,-0.037343,0.123836
